City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,RU,2021-10-20 02:29:13,68.0531,39.5131,31.64,73,88,19.6
1,Bluff,NZ,2021-10-20 02:31:56,-46.6,168.3333,51.12,56,29,4.83
2,Srednekolymsk,RU,2021-10-20 02:31:56,67.45,153.6833,3.4,86,17,4.29
3,Vaini,TO,2021-10-20 02:31:56,-21.2,-175.2,78.96,50,40,10.36
4,Jamestown,US,2021-10-20 02:28:26,42.097,-79.2353,58.71,78,1,5.99
5,Puerto Ayora,EC,2021-10-20 02:27:47,-0.7393,-90.3518,70.02,88,75,7.65
6,Poum,NC,2021-10-20 02:31:57,-20.2333,164.0167,75.83,80,100,9.33
7,Hithadhoo,MV,2021-10-20 02:31:58,-0.6,73.0833,83.07,73,95,11.86
8,Kongolo,CD,2021-10-20 02:31:58,-5.3833,27.0,69.17,98,100,1.23
9,Ribeira Grande,PT,2021-10-20 02:31:58,38.5167,-28.7,69.37,68,32,8.7
10,Vanimo,PG,2021-10-20 02:31:59,-2.6741,141.3028,83.97,75,75,5.3
11,Veraval,IN,2021-10-20 02:31:59,20.9,70.3667,79.59,64,13,5.14
12,Vila Velha,BR,2021-10-20 02:32:00,-20.3297,-40.2925,71.55,94,90,9.22
13,Port Alfred,ZA,2021-10-20 02:32:00,-33.5906,26.891,56.8,77,0,14.74
14,Dalby,AU,2021-10-20 02:32:00,-27.1833,151.2667,85.98,20,2,1.01
15,San Policarpo,PH,2021-10-20 02:32:01,12.1791,125.5072,84.92,72,81,7.7
16,Le Vauclin,MQ,2021-10-20 02:32:02,14.5452,-60.8388,79.84,94,0,2.3
17,Tasiilaq,GL,2021-10-20 02:27:14,65.6145,-37.6368,30.36,56,38,7.49
18,Husavik,IS,2021-10-20 02:32:03,66.0449,-17.3389,30.11,65,100,22.12
19,Agnibilekrou,CI,2021-10-20 02:32:03,7.1344,-3.2047,70.74,100,100,2.35
20,Rikitea,PF,2021-10-20 02:32:04,-23.1203,-134.9692,75.13,77,2,19.55
21,Casa Nova,BR,2021-10-20 02:32:04,-9.4167,-41.1333,83.61,47,68,7.27
22,Buala,SB,2021-10-20 02:32:04,-8.145,159.5921,84.51,71,71,1.95
23,Punta Arenas,CL,2021-10-20 02:31:34,-53.15,-70.9167,51.91,71,0,10.36
24,Cap Malheureux,MU,2021-10-20 02:32:05,-19.9842,57.6142,71.47,83,57,3.0
25,Micheweni,TZ,2021-10-20 02:32:05,-4.9667,39.8333,75.54,86,100,9.19
26,Victoria,HK,2021-10-20 02:28:20,22.2855,114.1577,84.25,75,100,1.01
27,Arraial Do Cabo,BR,2021-10-20 02:31:52,-22.9661,-42.0278,67.28,74,100,17.81
28,Huarmey,PE,2021-10-20 02:32:06,-10.0681,-78.1522,64.62,85,91,8.66
29,Port Hardy,CA,2021-10-20 02:30:05,50.6996,-127.4199,51.98,71,90,25.32
30,Ilulissat,GL,2021-10-20 02:32:06,69.2167,-51.1,30.22,55,100,9.22
31,Nhulunbuy,AU,2021-10-20 02:32:07,-12.2333,136.7667,92.01,49,38,10.36
32,Hobart,AU,2021-10-20 02:30:02,-42.8794,147.3294,64.02,57,75,3.0
33,Thompson,CA,2021-10-20 02:32:07,55.7435,-97.8558,35.76,55,90,6.91
34,Voyvozh,RU,2021-10-20 02:32:08,62.892,54.9635,31.53,92,100,7.67
35,Cherskiy,RU,2021-10-20 02:32:08,68.75,161.3,1.33,97,100,2.82
36,Ust-Charyshskaya Pristan,RU,2021-10-20 02:32:08,52.3934,83.6635,42.67,59,36,4.14
37,Saint-Pierre,RE,2021-10-20 02:32:09,-21.3393,55.4781,71.24,67,0,6.91
38,Valparaiso,CL,2021-10-20 02:31:29,-33.0393,-71.6273,58.48,87,90,5.75
39,Aklavik,CA,2021-10-20 02:32:09,68.2191,-135.0107,20.23,83,99,9.01
40,Upernavik,GL,2021-10-20 02:32:10,72.7868,-56.1549,32.58,97,100,29.53
41,Hilo,US,2021-10-20 02:32:10,19.7297,-155.09,78.53,73,40,9.22
42,Asyut,EG,2021-10-20 02:32:10,27.181,31.1837,68.18,59,6,12.75
43,Beipiao,CN,2021-10-20 02:32:11,41.7919,120.7792,50.05,27,8,2.75
44,Albany,US,2021-10-20 02:31:57,42.6001,-73.9662,57.72,72,2,12.12
45,Kaitangata,NZ,2021-10-20 02:32:11,-46.2817,169.8464,54.93,43,26,8.05
46,Lubao,PH,2021-10-20 02:32:12,14.9167,120.55,91.47,64,81,8.59
47,Shestakovo,RU,2021-10-20 02:32:12,56.4915,103.96,37.38,92,100,3.78
48,Isangel,VU,2021-10-20 02:32:12,-19.55,169.2667,80.71,83,100,5.75
49,Narsaq,GL,2021-10-20 02:32:13,60.9167,-46.05,37.62,37,0,6.76
50,Kisangani,CD,2021-10-20 02:32:13,0.5167,25.2,69.87,99,100,2.3
51,Tiksi,RU,2021-10-20 02:32:13,71.6872,128.8694,17.62,94,100,7.02
52,Tautira,PF,2021-10-20 02:32:14,-17.7333,-149.15,82.42,77,100,12.68
53,Georgiyevskoye,RU,2021-10-20 02:32:14,58.731,45.024,31.51,94,92,6.22
54,Caceres,ES,2021-10-20 02:32:15,39.522,-6.3748,59.81,57,69,0.43
55,Bengkulu,ID,2021-10-20 02:32:15,-3.8004,102.2655,82.9,72,91,4.25
56,Camocim,BR,2021-10-20 02:32:15,-2.9022,-40.8411,77.29,87,89,8.21
57,Ulaanbaatar,MN,2021-10-20 02:27:40,47.9077,106.8832,32.13,59,0,0.0
58,Bethel,US,2021-10-20 02:28:51,41.3712,-73.414,62.49,60,1,11.5
59,Kapaa,US,2021-10-20 02:32:16,22.0752,-159.319,82.38,69,40,1.99
60,Ushuaia,AR,2021-10-20 02:32:17,-54.8,-68.3,42.46,81,75,16.11
61,Bilibino,RU,2021-10-20 02:32:17,68.0546,166.4372,5.34,94,100,2.64
62,Vestmannaeyjar,IS,2021-10-20 02:28:12,63.4427,-20.2734,36.77,55,1,16.11
63,Conakry,GN,2021-10-20 02:31:30,9.538,-13.6773,75.36,77,91,4.74
64,Mar Del Plata,AR,2021-10-20 02:32:18,-38.0023,-57.5575,55.99,51,0,8.01
65,Inhambane,MZ,2021-10-20 02:32:18,-23.865,35.3833,66.36,73,97,10.33
66,New Norfolk,AU,2021-10-20 02:32:18,-42.7826,147.0587,63.66,34,6,6.44
67,Mataura,NZ,2021-10-20 02:32:19,-46.1927,168.8643,59.45,38,11,4.65
68,Kieta,PG,2021-10-20 02:32:19,-6.2167,155.6333,84.22,73,43,2.95
69,Birao,CF,2021-10-20 02:32:19,10.2849,22.7882,73.54,81,96,2.75
70,Tabory,RU,2021-10-20 02:32:20,58.5198,64.5495,39.49,73,100,4.61
71,Manta,EC,2021-10-20 02:27:31,-0.95,-80.7333,74.98,78,75,6.91
72,Half Moon Bay,US,2021-10-20 02:32:21,37.4636,-122.4286,64.17,47,90,5.01
73,Cape Town,ZA,2021-10-20 02:27:40,-33.9258,18.4232,59.11,74,0,1.01
74,Avera,US,2021-10-20 02:32:21,33.194,-82.5271,59.72,49,16,4.34
75,Rocha,UY,2021-10-20 02:32:05,-34.4833,-54.3333,49.53,92,0,6.33
76,Mahebourg,MU,2021-10-20 02:32:22,-20.4081,57.7,71.26,94,40,5.75
77,Itarema,BR,2021-10-20 02:32:22,-2.9248,-39.9167,78.76,82,31,10.67
78,Mayumba,GA,2021-10-20 02:32:22,-3.432,10.6554,76.08,85,100,6.22
79,Port Elizabeth,ZA,2021-10-20 02:32:23,-33.918,25.5701,59.29,82,0,10.36
80,Haines Junction,CA,2021-10-20 02:32:23,60.7522,-137.5108,33.39,93,100,2.46
81,Nemuro,JP,2021-10-20 02:32:23,43.3236,145.575,54.03,82,100,21.74
82,La Libertad,EC,2021-10-20 02:32:24,-2.2333,-80.9,73.06,88,75,4.61
83,Flinders,AU,2021-10-20 02:32:24,-34.5833,150.8552,72.18,65,17,8.01
84,Saint-Philippe,RE,2021-10-20 02:32:25,-21.3585,55.7679,71.15,72,16,7.16
85,Waingapu,ID,2021-10-20 02:32:25,-9.6567,120.2641,90.63,55,55,13.18
86,Chadan,RU,2021-10-20 02:32:25,51.2833,91.5833,37.11,61,29,2.8
87,Grand Gaube,MU,2021-10-20 02:32:00,-20.0064,57.6608,71.38,83,69,3.0
88,Castro,BR,2021-10-20 02:32:26,-24.7911,-50.0119,49.98,93,99,9.46
89,Wichita Falls,US,2021-10-20 02:28:19,33.9137,-98.4934,72.66,69,1,13.0
90,Severo-Kurilsk,RU,2021-10-20 02:31:56,50.6789,156.125,36.84,99,100,7.9
91,Esperance,AU,2021-10-20 02:28:46,-33.8667,121.9,67.84,64,96,31.74
92,Port Lincoln,AU,2021-10-20 02:30:39,-34.7333,135.8667,74.23,40,100,17.18
93,Khatanga,RU,2021-10-20 02:32:27,71.9667,102.5,20.73,93,100,14.88
94,Carnarvon,AU,2021-10-20 02:32:27,-24.8667,113.6333,73.47,56,75,10.36
95,Minggang,CN,2021-10-20 02:32:28,32.4586,114.0486,49.8,87,100,10.42
96,Darhan,MN,2021-10-20 02:32:28,49.4867,105.9228,40.84,50,7,4.18
97,Provideniya,RU,2021-10-20 02:32:29,64.3833,-173.3,33.91,69,75,13.42
98,Cayenne,GF,2021-10-20 02:30:06,4.9333,-52.3333,82.09,79,0,3.0
99,East London,ZA,2021-10-20 02:32:30,-33.0153,27.9116,56.59,78,0,12.24
100,Christchurch,NZ,2021-10-20 02:29:52,-43.5333,172.6333,56.32,58,90,7.0
101,Chokurdakh,RU,2021-10-20 02:32:30,70.6333,147.9167,-6.21,92,100,5.68
102,Westport,US,2021-10-20 02:28:56,41.1415,-73.3579,63.99,66,1,1.01
103,Merauke,ID,2021-10-20 02:32:31,-8.4667,140.3333,86.11,68,82,11.7
104,Anadyr,RU,2021-10-20 02:32:31,64.75,177.4833,25.3,92,75,13.0
105,Hermanus,ZA,2021-10-20 02:32:31,-34.4187,19.2345,57.9,90,5,13.62
106,Airai,TL,2021-10-20 02:32:32,-8.9266,125.4092,81.32,33,73,4.65
107,Dolores,AR,2021-10-20 02:30:02,-36.3132,-57.6792,47.5,79,2,6.38
108,Tuktoyaktuk,CA,2021-10-20 02:32:32,69.4541,-133.0374,19.4,93,20,13.8
109,Presidente Epitacio,BR,2021-10-20 02:32:32,-21.7633,-52.1156,66.43,77,100,12.8
110,Margate,GB,2021-10-20 02:32:33,51.3813,1.3862,61.3,84,100,8.01
111,Bangassou,CF,2021-10-20 02:32:33,4.7413,22.8184,68.95,99,100,1.45
112,Kirakira,SB,2021-10-20 02:32:34,-10.4544,161.9205,82.87,79,100,6.04
113,La Troncal,EC,2021-10-20 02:32:34,-2.4,-79.3333,85.8,92,99,0.54
114,Yellowknife,CA,2021-10-20 02:31:52,62.456,-114.3525,39.72,77,40,18.41
115,Khandbari,NP,2021-10-20 02:32:35,27.3747,87.2039,66.88,97,100,1.32
116,Kargasok,RU,2021-10-20 02:32:35,59.0556,80.8572,42.76,81,100,10.74
117,Zhanakorgan,KZ,2021-10-20 02:32:35,43.9098,67.2495,53.19,27,85,5.53
118,Vila Franca Do Campo,PT,2021-10-20 02:32:36,37.7167,-25.4333,63.01,79,5,4.59
119,Bredasdorp,ZA,2021-10-20 02:32:36,-34.5322,20.0403,55.74,94,0,11.27
120,Baykit,RU,2021-10-20 02:32:36,61.67,96.37,38.98,96,100,5.01
121,Bambous Virieux,MU,2021-10-20 02:32:37,-20.3428,57.7575,71.22,94,40,5.75
122,Jaypur,IN,2021-10-20 02:32:37,18.85,82.5833,76.21,84,99,3.74
123,Melilla,ES,2021-10-20 02:32:37,35.2937,-2.9383,66.4,94,0,1.14
124,Dikson,RU,2021-10-20 02:32:38,73.5069,80.5464,25.27,66,98,6.96
125,Yulara,AU,2021-10-20 02:32:38,-25.2406,130.9889,98.44,18,40,20.71
